,Num,District,State,Population,Growth Rate,Sex-Ratio,Literacy,Population2021_estimated
328,329,amreli,gujarat,1514190,1.0863,964,74.25,3464799.987
329,330,shajapur,madhya pradesh,1512681,1.172,938,69.09,7396452.436
330,331,kangra,himachal pradesh,1510075,1.1277,1012,85.67,5022666.264
331,332,dharmapuri,tamil nadu,1506843,1.1634,946,68.54,6844765.905
332,333,bhadrak,odisha,1506337,1.1294,981,82.78,5086276.643
333,334,karnal,haryana,1505324,1.1814,887,74.73,7972594.048
334,335,pashchimi singhbhum,jharkhand,1502338,1.2175,1005,58.63,10751210.16
335,336,raigarh,chhattisgarh,1493984,1.1805,991,73.26,7852462.309
336,337,deoghar,jharkhand,1492073,1.2803,925,64.85,17656618.22
337,338,bargarh,odisha,1481255,1.1002,977,74.62,3848985.149
338,339,vidisha,madhya pradesh,1458875,1.2009,896,70.53,9100945.849
339,340,karauli,rajasthan,1458248,1.2055,861,66.22,9451560.891
340,341,ratlam,madhya pradesh,1455069,1.1972,971,66.78,8801377.93
341,342,sonipat,haryana,1450001,1.1335,856,79.12,5076723.919
342,343,tikamgarh,madhya pradesh,1445166,1.2013,901,61.43,9045498.506
343,344,kendrapara,odisha,1440361,1.1063,1007,85.15,3955491.7
344,345,uttara kannada,karnataka,1437169,1.0617,979,84.06,2615327.102
345,346,kanshiram nagar,uttar pradesh,1436719,1.1693,880,61.02,6864854.423
346,347,tonk,rajasthan,1421326,1.173,952,61.58,7009286.659
347,348,bastar,chhattisgarh,1413199,1.1796,1023,54.4,7371416.667
348,349,jhalawar,rajasthan,1411129,1.1955,946,61.5,8415162.788
349,350,gandhinagar,gujarat,1391753,1.0429,923,84.16,2118306.704
350,351,koppal,karnataka,1389920,1.1621,986,68.09,6243452.558
351,352,dungarpur,rajasthan,1388552,1.2536,994,59.46,13309200.97
352,353,bathinda,punjab,1388525,1.1734,868,68.28,6870914.468
353,354,barwani,madhya pradesh,1385881,1.2757,982,49.08,15820182.75
354,355,koraput,odisha,1379647,1.1686,1032,49.21,6552798.306
355,356,auraiya,uttar pradesh,1379545,1.1691,864,78.95,6580402.772
356,357,seoni,madhya pradesh,1379131,1.1822,982,72.12,7353855.141
357,358,munger,bihar,1367765,1.2021,876,70.46,8618217.65
358,359,ramanathapuram,tamil nadu,1353445,1.1396,983,80.72,4999942.59
359,360,patan,gujarat,1343734,1.1361,935,72.3,4813698.713
360,361,mandsaur,madhya pradesh,1340411,1.1324,963,71.78,4647683.976
361,362,sivaganga,tamil nadu,1339101,1.159,1003,79.85,5856628.735
362,363,sawai madhopur,rajasthan,1335551,1.1956,897,65.39,7971123.548
363,364,jind,haryana,1334152,1.1213,871,71.44,4192021.806
364,365,raisen,madhya pradesh,1331597,1.1835,901,72.98,7178859.12
365,366,navsari,gujarat,1329672,1.0815,961,83.88,2910782.541
366,367,tinsukia,assam,1327929,1.1547,952,69.66,5595855.786
367,368,dibrugarh,assam,1326335,1.1192,961,76.05,4090065.33
368,369,garhwa,jharkhand,1322784,1.2775,935,60.33,15314330.71
369,370,gondiya,maharashtra,1322507,1.1014,999,84.95,3474151.082
370,371,dumka,jharkhand,1321442,1.1942,977,61.02,7795047.654
371,372,godda,jharkhand,1313551,1.2535,938,56.4,12580280.43
372,373,sehore,madhya pradesh,1311332,1.2154,918,70.06,9223695.97
373,374,east nimar,madhya pradesh,1310061,1.215,943,66.39,9184474.176
374,375,kasaragod,kerala,1307375,1.0858,1080,90.09,2977820.732
375,376,baghpat,uttar pradesh,1303048,1.1195,861,72.01,4029038.275
376,377,wardha,maharashtra,1300774,1.0518,946,86.99,2155427.961
377,378,sirsa,haryana,1295189,1.1599,897,68.82,5708718.545
